character,film,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
JABBA,EpisodeVI,0.150851256,0.03476078,0.016518334,-0.169722713,0.299794645,-0.263626465,-0.340193119,0.185793045,-0.257572722,0.195578193,-0.005806785,0.368220679,-0.302339599,0.028064524,0.451109827,0.131183629,0.314995631,-0.041447407,-0.083576964,-0.341512284,-0.138936013,0.17389864,0.078275274,-0.001025136,0.344337821,-1.328767204,-0.238568374,-0.078004137,0.171357278,-0.401912101,2.362473051,0.410601883,-0.428807786,0.028942312,0.00605384,0.02298606,0.005564129,0.074847398,0.028383865,-0.340738141,-0.179491012,0.153251995,-0.027021388,-0.089233715,0.198809822,-0.050170731,-0.019470779,-0.052105796,0.04591491,0.097620186
JERJERROD,EpisodeVI,0.421084077,0.047993614,0.0493791,-0.225589064,0.316833247,-0.132442016,-0.195055857,0.35099352,-0.056255629,-0.172682251,-0.07558543,0.15648161,-0.342609459,-0.058452345,0.233324602,0.109950382,0.162284982,-0.042103357,-0.334174082,-0.344036273,0.048614987,0.137960014,-0.090737575,-0.081049947,0.233724795,-1.308335968,-0.233433698,-0.195239358,0.366879344,-0.142475816,2.473959804,0.287052755,-0.354106644,-0.234219422,0.100041054,0.205700189,0.243559264,-0.139600168,-0.278162347,-0.035187364,-0.189283291,0.00955026,-0.030619096,-0.05065991,0.167631088,0.008362583,-0.138190323,-0.173562513,-0.117460834,-0.050430671
LANDO,EpisodeVI,0.156010071,0.005972492,0.197531678,-0.185051683,0.38658686,-0.107919077,-0.350951372,0.222465456,-0.162933152,-0.045919352,-0.055954771,0.107392993,-0.344416916,0.136681233,0.223670014,0.184694069,0.228914767,-0.13859568,-0.346410488,-0.3858629,-0.176871565,0.14803464,0.144521339,-0.038474575,0.267810833,-1.398162968,-0.235385199,0.079884571,0.421844768,-0.345476037,2.544410178,0.343161049,-0.261110962,0.023110801,0.049663808,-0.09699614,0.018781541,0.024110949,-0.057593422,-0.245840234,-0.210127646,0.053539667,0.079116028,0.067624096,0.108431656,-0.027670115,-0.022197411,-0.123392835,-0.035604593,0.052108369
LEIA,EpisodeVI,0.182714247,0.121793042,0.156980751,-0.28260061,0.404330815,-0.226715111,-0.222714761,0.174467893,-0.295836892,0.087216355,-0.183078927,0.308537763,-0.340452324,0.009386892,0.49847825,0.318560023,0.201403471,-0.027556953,0.041400085,-0.342707827,-0.248572182,0.320520572,0.325249879,0.160351648,0.453045302,-1.48785434,-0.571226485,0.107829575,0.445001853,-0.494606301,2.482617801,0.425238492,-0.304187838,0.007079226,-0.034706064,-0.127834512,0.071272691,-0.041163777,0.151901784,-0.217946324,-0.197733479,0.139863016,0.051590208,0.18579713,0.186449993,0.062311095,-0.107520975,-0.131226327,0.003155739,0.279395668
LUKE,EpisodeVI,0.249967624,0.098506161,0.048672933,-0.262266799,0.448091348,-0.073885473,-0.340329407,0.305859779,-0.296460166,0.022024142,0.002053045,0.37961567,-0.278284399,0.019842417,0.433412527,0.278520115,0.155670512,-0.091196101,-0.008549464,-0.258079242,-0.222666264,0.313881002,0.076686896,0.106038799,0.484598226,-1.404197184,-0.393222663,-0.129075837,0.387744241,-0.429690018,2.285607673,0.340257102,-0.377668196,-0.046129722,0.054733095,-0.006867427,0.031659969,-0.026474031,0.003153436,-0.251212501,-0.171107267,0.098593185,0.008000929,0.059797658,0.154432427,-0.027463298,-0.016661796,-0.268552612,-0.094427487,0.137986954
LURE,EpisodeVI,0.706709981,-0.214169994,0.754209995,-1.848199964,0.015823999,0.196349993,0.612559974,0.898810029,0.32359001,-0.11349,0.206060007,-0.397269994,-0.105269998,0.164299995,1.534399986,-0.316029996,0.600639999,0.274580002,-0.530359983,0.242750004,-0.404350013,-0.140740007,1.233899951,1.029399991,0.827939987,-1.24940002,-1.539600015,-0.640730023,0.306589991,0.068033002,2.088200092,0.066234998,-0.711820006,0.601119995,-1.173900008,-0.384469986,1.059700012,-0.562470019,1.238199949,0.055107001,-0.30794999,-0.840189993,0.505169988,-0.163279995,1.286200047,-0.331290007,-0.34751001,-0.948530018,0.01946,0.569899976
NAVIGATOR,EpisodeVI,-0.314139992,-0.020399,0.513339996,-0.943680048,-0.044030011,-0.176304996,0.353605002,0.262432516,0.094475001,0.615114987,0.121768005,-0.219946504,-0.087099999,-0.109849498,-0.150021642,0.516289949,0.200359985,-0.61480999,0.042989999,-0.849815011,0.443090022,-0.308988005,-0.098532997,-0.600319982,0.422410011,-0.58476001,0.33296001,0.227938503,0.632290006,1.546299934,2.828700066,0.645844996,1.080924988,-0.202140003,-0.1784385,-0.320367485,-0.493604988,-0.175489992,0.004123501,-0.519924998,-0.635164976,-0.025746003,-0.221817002,0.209325001,0.357472509,-0.405070007,0.563089967,0.442705005,0.027155001,0.087889992
NINEDENINE,EpisodeVI,0.293876812,0.112118051,0.053485813,-0.067442757,0.265816533,-0.072751056,-0.299885269,-0.139009339,-0.356911331,0.14197994,0.089576565,0.229098649,-0.107864713,0.164096008,0.294678278,0.243271992,-0.067920233,0.005334154,0.087085107,-0.337228512,-0.196578555,0.229995902,0.138516321,0.133936611,0.307710261,-1.137295355,-0.275040535,-0.060189628,0.142141417,-0.349638653,2.445483128,0.304349063,-0.406280746,-0.131633142,0.085812742,-0.124734944,0.09007184,0.072818911,-0.181097259,-0.104061896,-0.006947366,0.049330474,0.084934914,0.204065504,-0.070018174,0.217122249,0.002551659,0.164270441,-0.232172873,0.11926533
OFFICER,EpisodeVI,0.937054038,0.058051992,0.097351387,-0.281052411,0.744199932,-0.724595964,-0.4180502,0.759648025,0.099136613,-1.136810064,0.09896601,0.723896027,-0.320451975,0.151945785,-0.0405594,0.216018006,-0.164106414,0.109516814,-0.550511956,-0.127748817,0.391698003,0.451287985,0.096338801,-0.123884,0.348699987,-1.338904023,0.051213514,-0.40516004,-0.24920401,0.319391996,1.537259936,0.054733984,-0.840726018,-0.415607989,0.520542026,0.132903114,0.370332003,-0.133074015,-0.232183978,0.143593997,0.0828894,0.277523816,-0.12595202,-0.670888007,0.038840197,0.209724858,-0.253921986,-0.216197014,-0.076069996,0.189265981
OOLA,EpisodeVI,-0.283457518,0.319802523,0.651237547,0.800500035,-1.128507495,-0.506470025,0.736624956,0.107820749,-0.29212001,-0.421375006,-0.568672478,0.383930743,0.322427034,0.074330948,-0.402934998,-0.205099985,-0.142780021,0.149451271,0.837402463,0.789404988,-0.203684002,-0.734972537,0.644545019,0.696597457,0.71243,-0.381307483,-0.8499825,-0.679832458,-0.713864505,-0.064249992,0.589625001,0.260108352,-0.218846232,1.221379995,-0.26907748,-0.177405,-0.071225002,-0.276115,0.164054498,-0.313165009,0.000687245,0.100672245,0.044135008,-0.738484979,0.534878969,-0.095237508,0.179143742,-0.842054963,0.910570025,0.476022482
