character,film,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
OFFICER,EpisodeVI,0.9370540380477905,0.05805199220776558,0.09735138714313507,-0.2810524106025696,0.7441999316215515,-0.7245959639549255,-0.41805019974708557,0.7596480250358582,0.09913661330938339,-1.136810064315796,0.09896600991487503,0.7238960266113281,-0.3204519748687744,0.1519457846879959,-0.040559399873018265,0.21601800620555878,-0.16410641372203827,0.10951681435108185,-0.5505119562149048,-0.12774881720542908,0.3916980028152466,0.45128798484802246,0.09633880108594894,-0.12388399988412857,0.34869998693466187,-1.3389040231704712,0.05121351405978203,-0.4051600396633148,-0.24920400977134705,0.31939199566841125,1.5372599363327026,0.05473398417234421,-0.8407260179519653,-0.4156079888343811,0.5205420255661011,0.1329031139612198,0.3703320026397705,-0.13307401537895203,-0.23218397796154022,0.14359399676322937,0.08288940042257309,0.27752381563186646,-0.12595202028751373,-0.6708880066871643,0.038840197026729584,0.20972485840320587,-0.2539219856262207,-0.21619701385498047,-0.07606999576091766,0.18926598131656647
OPERATOR,EpisodeVI,-0.11693999171257019,0.4817749857902527,-0.07698500156402588,-0.5520199537277222,0.5703150033950806,0.0981139987707138,-0.5077400207519531,0.10046499967575073,-0.7619749903678894,-0.4537249803543091,-0.45706501603126526,1.1915000677108765,-0.27535751461982727,-0.640163004398346,0.37568148970603943,0.2884800136089325,0.6264650225639343,-0.3114299774169922,-0.4585449993610382,-0.49235498905181885,0.1450349986553192,0.4977799654006958,0.09069998562335968,-0.18351998925209045,0.8274350166320801,-1.130079984664917,-0.6592749953269958,-0.5484850406646729,-0.049219995737075806,0.3287999927997589,1.4393699169158936,-0.05223998427391052,-0.4337649941444397,0.024574995040893555,0.37518998980522156,-0.4517990052700043,0.5648549795150757,-0.1123260036110878,0.004374999552965164,-0.40836501121520996,0.470317006111145,0.5355555415153503,-0.4385799765586853,-0.27969449758529663,-0.08967999368906021,0.467585027217865,-0.6724400520324707,-0.4846400022506714,0.24044498801231384,0.7216050028800964
JERJERROD,EpisodeVI,0.414468377828598,0.3148016631603241,-0.54780513048172,-0.14901983737945557,0.792741596698761,-0.14260351657867432,0.1625944972038269,0.45422935485839844,-0.022571943700313568,0.2115868479013443,0.012186666019260883,0.5583150386810303,0.003557336749508977,-0.3834904730319977,0.29323217272758484,0.10693518072366714,0.11344166845083237,-0.09522166103124619,-0.4321461617946625,-0.3123764097690582,-0.007588326930999756,0.1930171698331833,-0.24138833582401276,-0.13214261829853058,0.4724368155002594,-0.9929549694061279,-0.7132749557495117,-0.16144733130931854,0.23627333343029022,0.12135501950979233,1.4466733932495117,0.3167484998703003,0.01461371686309576,-0.395511656999588,0.16301043331623077,0.08601982146501541,0.07931266725063324,-0.26978832483291626,-0.5851666927337646,-0.4463275372982025,0.03949834406375885,0.2612833082675934,-0.5506466627120972,-0.139373317360878,0.00018500287842471153,0.05455400049686432,-0.14311666786670685,-0.4381246566772461,-0.1370016634464264,-0.02676350437104702
VADER,EpisodeVI,0.26364439725875854,-0.24636955559253693,0.029269566759467125,-0.3368702828884125,0.24126672744750977,-0.4377143085002899,-0.13695143163204193,0.34186801314353943,-0.3679485619068146,-0.28301286697387695,-0.15398772060871124,0.32692283391952515,-0.3788464367389679,0.13751015067100525,0.328944593667984,0.21492142975330353,-0.3160313069820404,-0.3157947361469269,-0.20776857435703278,-0.3608500063419342,0.1761230081319809,0.18393756449222565,0.41273194551467896,-0.1769789755344391,-0.05593399330973625,-1.1217114925384521,0.21194885671138763,0.025147154927253723,0.3356056809425354,-0.014031435362994671,2.21673846244812,0.4119482636451721,-0.5046928524971008,0.03600829094648361,0.21856044232845306,0.15078172087669373,0.10682857781648636,0.29369300603866577,-0.14842285215854645,-0.08521212637424469,0.0037685888819396496,0.272968590259552,-0.034855861216783524,0.21543680131435394,-0.19870315492153168,-0.0479080006480217,0.13636842370033264,0.2009764164686203,-0.19840557873249054,0.1661464124917984
JERJERROD,EpisodeVI,0.11295167356729507,-0.3130883276462555,-0.13557416200637817,-0.3805299997329712,0.6977016925811768,-0.27444836497306824,-0.08017369359731674,0.2791701853275299,0.07409567385911942,-0.2616971731185913,0.08472732454538345,0.4064667224884033,-0.45799002051353455,-0.13542316854000092,0.1639155000448227,0.2604699730873108,0.30707165598869324,0.017327329143881798,-0.19342665374279022,-0.40743350982666016,-0.02853882871568203,0.3768899738788605,0.051857996731996536,0.3483549654483795,0.32438182830810547,-1.1759549379348755,-0.33313336968421936,-0.5153107047080994,0.1812480092048645,0.01807575486600399,1.9802402257919312,0.35046684741973877,-0.28170832991600037,-0.09683667868375778,0.31002601981163025,0.14177800714969635,0.032608505338430405,-0.01403665542602539,-0.38505831360816956,-0.3451925218105316,-0.05099516734480858,0.15875501930713654,-0.13050667941570282,0.05972800776362419,0.2760399878025055,0.04325332120060921,-0.01013502012938261,-0.6609913110733032,-0.09465667605400085,0.06746382266283035
VADER,EpisodeVI,0.5349725484848022,0.07217321544885635,0.13642099499702454,-0.4244771897792816,0.43260398507118225,0.057631395757198334,-0.5263375639915466,-0.019565999507904053,-0.2358819991350174,0.3651839792728424,-0.2572559714317322,0.35612058639526367,-0.1033891886472702,0.0901160016655922,0.24580001831054688,0.31049400568008423,0.46256399154663086,-0.04131440073251724,0.30556797981262207,-0.6572600603103638,0.0465099923312664,0.11558999866247177,-0.11541280895471573,0.274509996175766,0.4277600347995758,-1.3298300504684448,-0.5188060402870178,-0.37664321064949036,0.5189400315284729,-0.322274386882782,2.6802220344543457,0.6054964065551758,-0.343095988035202,-0.8426839709281921,0.11947200447320938,0.02375679835677147,-0.39443400502204895,0.23418474197387695,-0.14453600347042084,-0.4713993966579437,-0.2730882167816162,-0.12224160134792328,0.13623039424419403,0.3190299868583679,0.36933040618896484,0.352412611246109,0.05224759504199028,0.2494306117296219,-0.10376039892435074,0.40259799361228943
JERJERROD,EpisodeVI,0.9262160062789917,0.22297799587249756,0.5075160264968872,0.038376402109861374,-0.028462003916502,-0.4370260238647461,-0.5824940204620361,0.16259007155895233,0.10166200250387192,-0.43299198150634766,0.1293880045413971,0.0987820029258728,-0.3180820047855377,0.09790471941232681,0.16047200560569763,0.645412027835846,-0.06381820142269135,0.4051535725593567,-0.2633408010005951,-0.23277997970581055,0.5706990361213684,0.046914003789424896,-0.10840519517660141,0.10306201875209808,0.11468839645385742,-1.4206119775772095,-0.16296203434467316,-0.0660960003733635,0.24099402129650116,-0.23209400475025177,2.900239944458008,0.31392398476600647,-0.5700479745864868,-0.4925827980041504,0.18037772178649902,-0.12466199696063995,0.6092861890792847,0.014423809945583344,-0.2599664330482483,0.1416880041360855,-0.0724812000989914,-0.23342600464820862,-0.040262993425130844,-0.21059401333332062,-0.28700241446495056,-0.027907993644475937,-0.1927075833082199,0.27815181016921997,-0.1493459939956665,0.563256025314331
VADER,EpisodeVI,0.6172794103622437,-0.16578200459480286,-0.15714600682258606,-0.06898339092731476,0.572160005569458,-0.5144799947738647,0.15048599243164062,0.17442500591278076,-0.4573259949684143,0.21274800598621368,-0.07236039638519287,0.34372082352638245,-0.20152799785137177,-0.4675102233886719,0.30017799139022827,0.2944740355014801,-0.16486002504825592,-0.3348436951637268,0.19988800585269928,-0.059455595910549164,0.020177995786070824,0.16586200892925262,0.0019093990558758378,-0.67398601770401,0.6542890667915344,-0.990381121635437,-0.44034600257873535,-0.1098400205373764,-0.14489200711250305,0.44208699464797974,2.373539924621582,0.06135901063680649,0.23756396770477295,0.006048011593520641,0.03822159767150879,-0.6477428674697876,-0.17726600170135498,0.2735714018344879,-0.3422829806804657,-0.4712400436401367,-0.4465404152870178,-0.2554280161857605,0.22076836228370667,0.13188201189041138,-0.1311039924621582,-0.1523175984621048,-0.22358600795269012,0.5249580144882202,0.21830999851226807,0.2609120011329651
JERJERROD,EpisodeVI,0.2927224934101105,0.0688524916768074,0.28547248244285583,-0.2714749872684479,0.7773124575614929,-0.0032662488520145416,0.007047249004244804,0.4059700071811676,-0.010627120733261108,-0.24269349873065948,0.005739998072385788,0.20622248947620392,-0.2064949870109558,-0.08306850492954254,0.7485975027084351,0.3752775192260742,0.4677227735519409,-0.030347749590873718,0.26364749670028687,-0.6840524673461914,-0.3018224835395813,0.5463924407958984,0.22768250107765198,0.3405125141143799,0.5461000204086304,-1.535499930381775,-0.4337425231933594,-0.3494424819946289,0.3562999963760376,-0.4907124936580658,2.5712499618530273,0.5340799689292908,-0.7938574552536011,-0.3768547475337982,-0.01559080183506012,0.08297199755907059,0.21409650146961212,0.04916500300168991,-0.1370925009250641,-0.3873560130596161,-0.059289999306201935,-0.019607502967119217,0.48751550912857056,0.1928199827671051,0.25124502182006836,-0.07844424247741699,-0.029673002660274506,0.04741853475570679,-0.03349750488996506,0.23676250874996185
VADER,EpisodeVI,0.5317933559417725,0.4313666820526123,0.09870333224534988,-0.3595684766769409,0.7409866452217102,-0.3325599730014801,-0.4174633026123047,0.6237133145332336,-0.1132500171661377,-0.08563999086618423,-0.2616330087184906,0.440603643655777,-0.018116667866706848,0.08892166614532471,0.8914966583251953,0.4023066759109497,-0.02864333987236023,0.016950666904449463,0.08390167355537415,-0.28386998176574707,-0.050056666135787964,0.4024699926376343,0.09910032898187637,0.33759331703186035,0.9722533226013184,-1.712666630744934,-0.5727400183677673,0.1293933242559433,0.4724433422088623,-0.33146533370018005,1.9769333600997925,0.28431999683380127,-0.530186653137207,-0.2826000154018402,-0.011123699136078358,-0.052253324538469315,-0.091948002576828,-0.04811333492398262,-0.08989999443292618,-0.45498332381248474,-0.09788867086172104,0.38470664620399475,-0.121069997549057,-0.2834266424179077,0.39885663986206055,0.2673233449459076,0.157467320561409,-0.055690329521894455,-0.10133665800094604,0.44260668754577637
JERJERROD,EpisodeVI,0.41352999210357666,0.2186564952135086,-0.3186650276184082,-0.30786001682281494,0.13080599904060364,-0.515529990196228,-0.1756500005722046,0.3515250086784363,-0.9764230251312256,0.006410002708435059,-0.22468499839305878,0.6304900050163269,-0.30465149879455566,-0.13467399775981903,0.5250300168991089,-0.04574999958276749,-0.2933350205421448,-0.46832001209259033,-0.3222675025463104,0.2001749873161316,-0.2895295023918152,-0.557173490524292,0.004229992628097534,-0.1534615010023117,0.2661465108394623,-1.1158299446105957,-0.4997349977493286,-0.4605249762535095,0.08658000826835632,-0.14338499307632446,2.075314998626709,0.5953999757766724,0.371428519487381,0.254859983921051,0.07682999968528748,0.2376299798488617,-0.02086399868130684,0.26736000180244446,-0.9008924961090088,0.2079249918460846,-0.5811399817466736,0.11968550086021423,0.058525003492832184,0.623479962348938,-0.13849499821662903,0.08720500022172928,-0.36463499069213867,-0.7054069638252258,-0.293784499168396,-0.7249160408973694
VADER,EpisodeVI,0.37040969729423523,-0.058161649852991104,0.0899449959397316,-0.16017532348632812,0.34291866421699524,-0.006525009870529175,0.30584999918937683,0.4678078591823578,-0.06264281272888184,-0.2461233139038086,0.18883998692035675,0.13777166604995728,-0.5706382393836975,-0.2661331593990326,-0.08458099514245987,0.11813917011022568,-0.10819486528635025,-0.30722832679748535,0.17909498512744904,-0.2931983172893524,-0.38936832547187805,0.1645633429288864,0.04933653771877289,-0.525868833065033,0.5558933615684509,-1.2222232818603516,-0.5058923363685608,0.05195966735482216,0.3158816695213318,0.5064733028411865,2.0971744060516357,0.011567662470042706,-0.18789666891098022,-0.8050733208656311,0.16028864681720734,-0.06167000159621239,0.19500599801540375,0.011859163641929626,-0.5408033132553101,-0.01597449742257595,-0.16672049462795258,-0.10414502769708633,-0.0992661714553833,-0.22276858985424042,0.06057000160217285,-0.17755281925201416,-0.1396540254354477,0.8003875613212585,0.23565219342708588,0.1575699895620346
JERJERROD,EpisodeVI,0.2786499857902527,0.19180499017238617,0.14195950329303741,-0.06224500387907028,-0.1343350112438202,0.5700300335884094,-0.2591850161552429,0.2833099961280823,0.584975004196167,0.3501800298690796,-0.21402499079704285,-0.09349500387907028,-0.6759350299835205,0.3614250123500824,0.019305020570755005,-0.5838500261306763,0.5073300004005432,-0.6779149770736694,0.003814995288848877,-0.38736650347709656,0.1443749964237213,-0.38675999641418457,-0.38846999406814575,-0.608144998550415,0.005899995565414429,-1.4223999977111816,0.24251200258731842,-0.36700400710105896,0.36375999450683594,-0.21053999662399292,3.2606000900268555,0.46998000144958496,-0.30624496936798096,-0.01250004768371582,-0.072284996509552,0.1608635038137436,0.03674498200416565,0.2019749879837036,-0.28492000699043274,-0.17847849428653717,-0.5724850296974182,-0.14207150042057037,0.06535214930772781,-0.3717299997806549,0.15139499306678772,-0.23519200086593628,0.0648449957370758,0.2975749969482422,-0.16995149850845337,-0.035987500101327896
VADER,EpisodeVI,0.5310279726982117,0.20950379967689514,-0.17134681344032288,-0.4682844281196594,0.8519479632377625,-0.430523157119751,0.47309398651123047,0.501054048538208,-0.4597616195678711,0.026683997362852097,-0.024863004684448242,0.7045340538024902,-0.21987803280353546,-0.43563804030418396,0.07163520902395248,0.1116199940443039,0.06634358316659927,0.0656300038099289,0.24573799967765808,0.1501312106847763,-0.30838000774383545,0.2628119885921478,0.023365400731563568,-0.6333099603652954,0.5517420172691345,-1.2791640758514404,-0.36743998527526855,-0.3500077724456787,0.28517600893974304,0.12181860208511353,1.6738300323486328,0.3085179924964905,-0.4700160026550293,0.1743299961090088,-0.041111402213573456,-0.16380199790000916,-0.09715200960636139,0.01925828494131565,-0.4916445314884186,-0.08688999712467194,-0.15467402338981628,-0.06443001329898834,0.055342406034469604,-0.19189336895942688,-0.00893180351704359,-0.022803395986557007,-0.5354419946670532,-0.2934524118900299,-0.3698210120201111,0.08815659582614899
THREEPIO,EpisodeVI,0.21350650489330292,-0.11273398250341415,-0.23266711831092834,-0.12407799810171127,-0.05576147511601448,-0.014569506049156189,-0.2638830244541168,0.6194573044776917,-0.28904929757118225,-0.008310997858643532,-0.02813209593296051,0.33373621106147766,-0.2900572121143341,-0.2284969836473465,0.5225527286529541,-0.04060699790716171,0.09170999377965927,0.06535439193248749,0.04516000673174858,0.0550139918923378,-0.3484160900115967,0.11789701133966446,0.015405893325805664,-0.0029267012141644955,0.6928198933601379,-0.8028839826583862,-0.3032991886138916,-0.024113014340400696,0.4450884759426117,-0.21969011425971985,1.658499002456665,0.3503360152244568,0.15110202133655548,0.11308890581130981,-0.030343998223543167,0.3451550006866455,-0.11521252244710922,0.19018390774726868,0.11419111490249634,-0.03355700150132179,-0.38330256938934326,0.09145380556583405,-0.03326770290732384,-0.0974079817533493,-0.12265580892562866,-0.05058789253234863,0.058856088668107986,-0.16719020903110504,-0.158051997423172,0.07666890323162079
THREEPIO,EpisodeVI,0.37374135851860046,-0.29012975096702576,-0.06823048740625381,-0.24087375402450562,0.33222126960754395,-0.19004225730895996,-0.4429953992366791,0.32138675451278687,-0.566795825958252,-0.11951687932014465,-0.20084713399410248,0.18553200364112854,-0.22016650438308716,-0.04297412931919098,0.4396374821662903,0.5273175239562988,0.23676879703998566,0.0037672538310289383,-0.13525250554084778,-0.31808874011039734,0.06339074671268463,0.2967274785041809,0.18920624256134033,0.22233836352825165,0.5825011730194092,-1.2053661346435547,-0.4704306125640869,0.34608250856399536,-0.019270136952400208,-0.5395225286483765,2.096717596054077,0.1600661277770996,0.052216626703739166,0.02117624506354332,0.23044300079345703,0.008555613458156586,0.0981537476181984,0.006243757903575897,0.29083824157714844,-0.019751133397221565,-0.330056369304657,0.4663732349872589,-0.294840544462204,0.09374800324440002,0.03413950651884079,-0.06816748529672623,0.097002312541008,-0.038349028676748276,0.10696949064731598,0.15292775630950928
